final lin 0.0 0 ,final log 0.0 0 ,final power 0.0 0 ,final lin 0.5235987755982988 0 ,final log 0.5235987755982988 0 ,final power 0.5235987755982988 0 ,final lin 1.0471975511965976 0 ,final log 1.0471975511965976 0 ,final power 1.0471975511965976 0 ,final lin 1.5707963267948966 0 ,final log 1.5707963267948966 0 ,final power 1.5707963267948966 0 ,final lin 0.0 1 ,final log 0.0 1 ,final power 0.0 1 ,final lin 0.5235987755982988 1 ,final log 0.5235987755982988 1 ,final power 0.5235987755982988 1 ,final lin 1.0471975511965976 1 ,final log 1.0471975511965976 1 ,final power 1.0471975511965976 1 ,final lin 1.5707963267948966 1 ,final log 1.5707963267948966 1 ,final power 1.5707963267948966 1 
4426,37752,748,4426,37752,748,4426,37752,748,4426,37752,748,5924,50524,1000,11324,97302,1948,11324,97302,1948,11324,97302,1948
4100,34298,1390,4100,34298,1390,4100,34298,1390,4100,34298,1390,5486,45898,1860,9120,76660,3148,9120,76660,3148,9120,76660,3148
3812,32580,1266,3812,32580,1266,3812,32580,1266,3812,32580,1266,5102,43598,1694,8014,68656,2658,8014,68656,2658,8014,68656,2658
6370,53716,598,6370,53716,598,6370,53716,598,6370,53716,598,7578,64008,800,10062,85224,1216,10062,85224,1216,10062,85224,1216
36470,307530,11312,36470,307530,11312,36470,307530,11312,36470,307530,11312,37604,317192,11692,39784,335748,12434,39784,335748,12434,39784,335748,12434
28440,209202,8266,28440,209202,8266,28440,209202,8266,28440,209202,8266,29682,218290,8622,31948,234856,9274,31948,234856,9274,31948,234856,9274
17596,150934,5860,17596,150934,5860,17596,150934,5860,17596,150934,5860,18602,159502,6198,20358,174486,6784,20358,174486,6784,20358,174486,6784
17160,125356,4860,17160,125356,4860,17160,125356,4860,17160,125356,4860,18272,133456,5178,20146,147162,5710,20146,147162,5710,20146,147162,5710
12880,109430,4258,12880,109430,4258,12880,109430,4258,12880,109430,4258,13786,117112,4558,15272,129732,5048,15272,129732,5048,15272,129732,5048
13550,98054,3840,13550,98054,3840,13550,98054,3840,13550,98054,3840,14556,105344,4126,16170,117050,4584,16170,117050,4584,16170,117050,4584
12332,89356,3526,12332,89356,3526,12332,89356,3526,12332,89356,3526,13286,96296,3800,14786,107212,4228,14786,107212,4228,14786,107212,4228
12912,82312,4836,17342,110620,6904,17342,110620,6904,17342,110620,6904,18376,117222,7292,19974,127418,7888,19974,127418,7888,19974,127418,7888
10478,76466,2982,21018,153868,6056,21018,153868,6056,21018,153868,6056,21880,160164,6302,23190,169730,6676,23190,169730,6676,23190,169730,6676
9818,71482,2816,15644,113680,4508,15644,113680,4508,15644,113680,4508,16470,119690,4746,17708,128698,5102,17708,128698,5102,17708,128698,5102
10540,65918,3980,15436,96384,5846,15436,96384,5846,15436,96384,5846,16334,102026,6184,17668,110366,6686,17668,110366,6686,17668,110366,6686
9940,63446,3716,13884,88746,5186,13884,88746,5186,13884,88746,5186,14744,94266,5508,15998,102322,5980,15998,102322,5980,15998,102322,5980
8250,60096,2358,11204,81626,3200,11204,81626,3200,11204,81626,3200,11930,86902,3406,12976,94532,3706,12976,94532,3706,12976,94532,3706
10074,57052,3376,13394,75876,4502,13394,75876,4502,13394,75876,4502,14284,80910,4800,15564,88144,5226,15564,88144,5226,15564,88144,5226
8500,54300,3218,11112,71036,4210,11112,71036,4210,11112,71036,4210,11868,75868,4496,12946,82748,4902,12946,82748,4902,12946,82748,4902
8106,51806,3056,10464,66878,3950,10464,66878,3950,10464,66878,3950,11190,71516,4224,12218,78064,4610,12218,78064,4610,12218,78064,4610
8730,49524,3880,11142,63234,4956,11142,63234,4956,11142,63234,4956,11924,67692,5304,13022,73936,5796,13022,73936,5796,13022,73936,5796
7420,47420,2776,9386,59970,3512,9386,59970,3512,9386,59970,3512,10056,64246,3762,10990,70204,4114,10990,70204,4114,10990,70204,4114
8022,45442,2678,10068,57014,3362,10068,57014,3362,10068,57014,3362,10794,61128,3602,11798,66832,3938,11798,66832,3938,11798,66832,3938
7692,43676,3426,9586,54400,4272,9586,54400,4272,9586,54400,4272,10286,58354,4580,11244,63818,5010,11244,63818,5010,11244,63818,5010
7408,42016,3296,9166,51976,4078,9166,51976,4078,9166,51976,4078,9838,55784,4376,10758,60988,4784,10758,60988,4784,10758,60988,4784
155372,878720,79764,157016,888016,80490,157016,888016,80490,157016,888016,80490,157664,891682,80776,158546,896666,81166,158546,896666,81166,158546,896666,81166
167932,878730,54032,169644,887276,54710,169644,887276,54710,169644,887276,54710,170338,890736,54984,171276,895424,55358,171276,895424,55358,171276,895424,55358
53148,273794,21084,54748,281980,21724,54748,281980,21724,54748,281980,21724,55416,285384,21988,56314,289972,22344,56314,289972,22344,56314,289972,22344
39492,224156,17578,40852,231864,18186,40852,231864,18186,40852,231864,18186,41430,235140,18442,42210,239542,18788,52918,298906,23512,52918,298906,23512
