final lin 0.0 0.0,final log 0.0 0.0,final power 0.0 0.0,final lin 0.0 0.524,final log 0.0 0.524,final power 0.0 0.524,final lin 0.0 1.047,final log 0.0 1.047,final power 0.0 1.047,final lin 0.0 1.571,final log 0.0 1.571,final power 0.0 1.571,final lin 0.5 0.0,final log 0.5 0.0,final power 0.5 0.0,final lin 0.5 0.524,final log 0.5 0.524,final power 0.5 0.524,final lin 0.5 1.047,final log 0.5 1.047,final power 0.5 1.047,final lin 0.5 1.571,final log 0.5 1.571,final power 0.5 1.571,final lin 0.9 0.0,final log 0.9 0.0,final power 0.9 0.0,final lin 0.9 0.524,final log 0.9 0.524,final power 0.9 0.524,final lin 0.9 1.047,final log 0.9 1.047,final power 0.9 1.047,final lin 0.9 1.571,final log 0.9 1.571,final power 0.9 1.571
850196,4817598,283110,850196,4817598,283110,850196,4817598,283110,850196,4817598,283110,851508,4825044,283548,853554,4836616,284232,853554,4836616,284232,853554,4836616,284232,854280,4840730,284472,855284,4846434,284808,855284,4846434,284808,855284,4846434,284808
830387,4707092,369031,830387,4707092,369031,830387,4707092,369031,830387,4707092,369031,831641,4714226,369591,833535,4724950,370437,833535,4724950,370437,833535,4724950,370437,834235,4728904,370745,835193,4734368,371175,835193,4734368,371175,835193,4734368,371175
814183,4615087,361875,814183,4615087,361875,814183,4615087,361875,814183,4615087,361875,815391,4621939,362413,817149,4631899,363195,817149,4631899,363195,817149,4631899,363195,817821,4635707,363493,818741,4640911,363901,818741,4640911,363901,818741,4640911,363901
8197643,46358153,4176887,8204453,46401203,4180897,8208361,46425893,4183197,8211743,46447259,4185187,8212911,46453851,4185701,8214555,46463147,4186427,8214555,46463147,4186427,8214555,46463147,4186427,8215203,46466813,4186713,8216085,46471797,4187103,8216085,46471797,4187103,8216085,46471797,4187103
8854012,46220880,2884937,8873608,46318658,2892519,8884632,46373632,2896765,8894148,46421098,2900431,8895400,46427326,2900927,8897112,46435872,2901605,8897112,46435872,2901605,8897112,46435872,2901605,8897806,46439332,2901879,8898744,46444020,2902253,8898744,46444020,2902253,8898744,46444020,2902253
3146084,16175632,1250080,3157658,16235240,1254670,3163754,16266708,1257086,3168982,16293714,1259154,3170178,16299838,1259632,3171778,16308024,1260272,3171778,16308024,1260272,3171778,16308024,1260272,3172446,16311428,1260536,3173344,16316016,1260892,3173344,16316016,1260892,3173344,16316016,1260892
2447241,13880109,1089320,2455915,13929375,1093186,2460163,13953491,1095076,2463775,13974015,1096690,2464823,13979939,1097154,2466183,13987647,1097762,2466183,13987647,1097762,2466183,13987647,1097762,2466761,13990923,1098018,2467541,13995325,1098364,2478249,14054689,1103088,2478249,14054689,1103088
2465730,12535667,1229455,2474698,12581349,1233935,2478700,12601681,1235929,2482088,12618865,1237615,2483212,12624597,1238177,2484638,12631871,1238893,2484834,12633941,1239301,2484834,12633941,1239301,2485458,12637103,1239611,2486296,12641327,1240025,2500300,12711117,1246821,2500300,12711117,1246821
2550148,11816305,926661,2560008,11861999,930239,2563876,11879907,931645,2567118,11894919,932825,2568318,11900461,933261,2569804,11907337,933801,2584814,11978447,939395,2584814,11978447,939395,2585470,11981497,939635,2586344,11985557,939955,2594992,12025533,943095,2594992,12025533,943095
2306485,11760832,1150772,2316277,11810712,1155606,2319441,11826888,1157200,2322079,11840346,1158530,2323131,11845708,1159058,2324411,11852228,1159700,2334919,11906540,1165366,2334919,11906540,1165366,2335497,11909484,1165654,2336261,11913388,1166036,2342283,11944188,1169106,2342283,11944188,1169106
